Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01312","Bananas","2020","2020","tonnes","625981","A","Official figure"
"QCL","Crops and livestock products","384","Côte d'Ivoire","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","501667","I","Imputed value"
"QCL","Crops and livestock products","384","Côte d'Ivoire","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","37530","E","Estimated value"
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","1882779","I","Imputed value"
"QCL","Crops and livestock products","191","Croatia","5312","Area harvested","01312","Bananas","2020","2020","ha","0","A","Official figure"
"QCL","Crops and livestock products","191","Croatia","5510","Production","01312","Bananas","2020","2020","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","192","Cuba","5312","Area harvested","01312","Bananas","2020","2020","ha","36095","A","Official figure"
"QCL","Crops and livestock products","192","Cuba","5419","Yield","01312","Bananas","2020","2020","hg/ha","72975","E","Estimated value"
"QCL","Crops and livestock products","192","Cuba","5510","Production","01312","Bananas","2020","2020","tonnes","263405","A","Official figure"
"QCL","Crops and livestock products","192","Cuba","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","63811","A","Official figure"
"QCL","Crops and livestock products","192","Cuba","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","93146","E","Estimated value"
"QCL","Crops and livestock products","192","Cuba","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","594374","A","Official figure"
"QCL","Crops and livestock products","196","Cyprus","5312","Area harvested","01312","Bananas","2020","2020","ha","210","A","Official figure"
"QCL","Crops and livestock products","196","Cyprus","5419","Yield","01312","Bananas","2020","2020","hg/ha","269048","E","Estimated value"
"QCL","Crops and livestock products","196","Cyprus","5510","Production","01312","Bananas","2020","2020","tonnes","5650","A","Official figure"
"QCL","Crops and livestock products","203","Czechia","5312","Area harvested","01312","Bananas","2020","2020","ha","0","A","Official figure"
"QCL","Crops and livestock products","203","Czechia","5510","Production","01312","Bananas","2020","2020","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5312","Area harvested","01312","Bananas","2020","2020","ha","226057","I","Imputed value"
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5419","Yield","01312","Bananas","2020","2020","hg/ha","36345","E","Estimated value"
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5510","Production","01312","Bananas","2020","2020","tonnes","821613","I","Imputed value"
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","1105564","I","Imputed value"
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","44249","E","Estimated value"
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","4891990","I","Imputed value"
"QCL","Crops and livestock products","208","Denmark","5312","Area harvested","01312","Bananas","2020","2020","ha","0","A","Official figure"
"QCL","Crops and livestock products","208","Denmark","5510","Production","01312","Bananas","2020","2020","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","212","Dominica","5312","Area harvested","01312","Bananas","2020","2020","ha","2781","E","Estimated value"
"QCL","Crops and livestock products","212","Dominica","5419","Yield","01312","Bananas","2020","2020","hg/ha","76455","E","Estimated value"
"QCL","Crops and livestock products","212","Dominica","5510","Production","01312","Bananas","2020","2020","tonnes","21262","E","Estimated value"
"QCL","Crops and livestock products","212","Dominica","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","715","I","Imputed value"
"QCL","Crops and livestock products","212","Dominica","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","73930","E","Estimated value"
"QCL","Crops and livestock products","212","Dominica","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","5286","I","Imputed value"
"QCL","Crops and livestock products","214","Dominican Republic","5312","Area harvested","01312","Bananas","2020","2020","ha","29111","A","Official figure"
"QCL","Crops and livestock products","214","Dominican Republic","5419","Yield","01312","Bananas","2020","2020","hg/ha","423221","E","Estimated value"
"QCL","Crops and livestock products","214","Dominican Republic","5510","Production","01312","Bananas","2020","2020","tonnes","1232039","A","Official figure"
"QCL","Crops and livestock products","214","Dominican Republic","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","49423","A","Official figure"
"QCL","Crops and livestock products","214","Dominican Republic","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","213088","E","Estimated value"
"QCL","Crops and livestock products","214","Dominican Republic","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","1053143","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01312","Bananas","2020","2020","ha","160630","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01312","Bananas","2020","2020","hg/ha","374985","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5510","Production","01312","Bananas","2020","2020","tonnes","6023390","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","127895","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","56476","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","722298","A","Official figure"
"QCL","Crops and livestock products","818","Egypt","5312","Area harvested","01312","Bananas","2020","2020","ha","30864","I","Imputed value"
"QCL","Crops and livestock products","818","Egypt","5419","Yield","01312","Bananas","2020","2020","hg/ha","448079","E","Estimated value"
"QCL","Crops and livestock products","818","Egypt","5510","Production","01312","Bananas","2020","2020","tonnes","1382950","I","Imputed value"
"QCL","Crops and livestock products","222","El Salvador","5312","Area harvested","01312","Bananas","2020","2020","ha","1033","I","Imputed value"
"QCL","Crops and livestock products","222","El Salvador","5419","Yield","01312","Bananas","2020","2020","hg/ha","135799","E","Estimated value"
"QCL","Crops and livestock products","222","El Salvador","5510","Production","01312","Bananas","2020","2020","tonnes","14028","I","Imputed value"
"QCL","Crops and livestock products","222","El Salvador","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","1844","I","Imputed value"
"QCL","Crops and livestock products","222","El Salvador","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","203774","E","Estimated value"
"QCL","Crops and livestock products","222","El Salvador","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","37576","I","Imputed value"
"QCL","Crops and livestock products","226","Equatorial Guinea","5312","Area harvested","01312","Bananas","2020","2020","ha","6400","E","Estimated value"
"QCL","Crops and livestock products","226","Equatorial Guinea","5419","Yield","01312","Bananas","2020","2020","hg/ha","46570","E","Estimated value"
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01312","Bananas","2020","2020","tonnes","29805","E","Estimated value"
"QCL","Crops and livestock products","226","Equatorial Guinea","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","7907","E","Estimated value"
"QCL","Crops and livestock products","226","Equatorial Guinea","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","51213","E","Estimated value"
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","40494","E","Estimated value"
"QCL","Crops and livestock products","233","Estonia","5312","Area harvested","01312","Bananas","2020","2020","ha","0","A","Official figure"
"QCL","Crops and livestock products","233","Estonia","5510","Production","01312","Bananas","2020","2020","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","748","Eswatini","5312","Area harvested","01312","Bananas","2020","2020","ha","1095","E","Estimated value"
"QCL","Crops and livestock products","748","Eswatini","5419","Yield","01312","Bananas","2020","2020","hg/ha","59553","E","Estimated value"
"QCL","Crops and livestock products","748","Eswatini","5510","Production","01312","Bananas","2020","2020","tonnes","6521","E","Estimated value"
"QCL","Crops and livestock products","231","Ethiopia","5312","Area harvested","01312","Bananas","2020","2020","ha","95954","A","Official figure"
"QCL","Crops and livestock products","231","Ethiopia","5419","Yield","01312","Bananas","2020","2020","hg/ha","93624","E","Estimated value"
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01312","Bananas","2020","2020","tonnes","898355","A","Official figure"
"QCL","Crops and livestock products","242","Fiji","5312","Area harvested","01312","Bananas","2020","2020","ha","1095","A","Official figure"
"QCL","Crops and livestock products","242","Fiji","5419","Yield","01312","Bananas","2020","2020","hg/ha","80027","E","Estimated value"
"QCL","Crops and livestock products","242","Fiji","5510","Production","01312","Bananas","2020","2020","tonnes","8763","A","Official figure"
"QCL","Crops and livestock products","242","Fiji","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","187","A","Official figure"
"QCL","Crops and livestock products","242","Fiji","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","320695","E","Estimated value"
"QCL","Crops and livestock products","242","Fiji","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","5997","A","Official figure"
"QCL","Crops and livestock products","246","Finland","5312","Area harvested","01312","Bananas","2020","2020","ha","0","A","Official figure"
"QCL","Crops and livestock products","246","Finland","5510","Production","01312","Bananas","2020","2020","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","250","France","5312","Area harvested","01312","Bananas","2020","2020","ha","9090","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01312","Bananas","2020","2020","hg/ha","221606","E","Estimated value"
"QCL","Crops and livestock products","250","France","5510","Production","01312","Bananas","2020","2020","tonnes","201440","A","Official figure"
"QCL","Crops and livestock products","258","French Polynesia","5312","Area harvested","01312","Bananas","2020","2020","ha","30","E","Estimated value"
"QCL","Crops and livestock products","258","French Polynesia","5419","Yield","01312","Bananas","2020","2020","hg/ha","69333","E","Estimated value"
"QCL","Crops and livestock products","258","French Polynesia","5510","Production","01312","Bananas","2020","2020","tonnes","208","E","Estimated value"
"QCL","Crops and livestock products","266","Gabon","5312","Area harvested","01312","Bananas","2020","2020","ha","2320","I","Imputed value"
"QCL","Crops and livestock products","266","Gabon","5419","Yield","01312","Bananas","2020","2020","hg/ha","76767","E","Estimated value"
"QCL","Crops and livestock products","266","Gabon","5510","Production","01312","Bananas","2020","2020","tonnes","17810","E","Estimated value"
"QCL","Crops and livestock products","266","Gabon","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","51739","I","Imputed value"
"QCL","Crops and livestock products","266","Gabon","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","66853","E","Estimated value"
"QCL","Crops and livestock products","266","Gabon","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","345890","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01312","Bananas","2020","2020","ha","0","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01312","Bananas","2020","2020","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01312","Bananas","2020","2020","ha","7808","I","Imputed value"
"QCL","Crops and livestock products","288","Ghana","5419","Yield","01312","Bananas","2020","2020","hg/ha","112490","E","Estimated value"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01312","Bananas","2020","2020","tonnes","87832","E","Estimated value"
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","418354","I","Imputed value"
"QCL","Crops and livestock products","288","Ghana","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","111580","E","Estimated value"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","4667999","I","Imputed value"
"QCL","Crops and livestock products","300","Greece","5312","Area harvested","01312","Bananas","2020","2020","ha","100","A","Official figure"
"QCL","Crops and livestock products","300","Greece","5419","Yield","01312","Bananas","2020","2020","hg/ha","479000","E","Estimated value"
"QCL","Crops and livestock products","300","Greece","5510","Production","01312","Bananas","2020","2020","tonnes","4790","A","Official figure"
"QCL","Crops and livestock products","308","Grenada","5312","Area harvested","01312","Bananas","2020","2020","ha","580","I","Imputed value"
"QCL","Crops and livestock products","308","Grenada","5419","Yield","01312","Bananas","2020","2020","hg/ha","33948","E","Estimated value"
"QCL","Crops and livestock products","308","Grenada","5510","Production","01312","Bananas","2020","2020","tonnes","1969","A","Official figure"
"QCL","Crops and livestock products","308","Grenada","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","385","I","Imputed value"
